Scale,Model,Batch,System,Throughput
Small Scale,RetNet,32,GPU,1.00
Small Scale,RetNet,32,GPU+Q,1.25
Small Scale,RetNet,32,GPU+PIM,1.18
Small Scale,RetNet,32,Pimba,1.62
Small Scale,RetNet,64,GPU,1.00
Small Scale,RetNet,64,GPU+Q,1.38
Small Scale,RetNet,64,GPU+PIM,1.28
Small Scale,RetNet,64,Pimba,2.15
Small Scale,GLA,32,GPU,1.00
Small Scale,GLA,32,GPU+Q,1.14
Small Scale,GLA,32,GPU+PIM,1.20
Small Scale,GLA,32,Pimba,1.47
Small Scale,GLA,64,GPU,1.00
Small Scale,GLA,64,GPU+Q,1.23
Small Scale,GLA,64,GPU+PIM,1.30
Small Scale,GLA,64,Pimba,1.66
Large Scale,RetNet,32,GPU,1.00
Large Scale,RetNet,32,GPU+Q,1.32
Large Scale,RetNet,32,GPU+PIM,1.52
Large Scale,RetNet,32,Pimba,2.05
Large Scale,RetNet,64,GPU,1.00
Large Scale,RetNet,64,GPU+Q,1.49
Large Scale,RetNet,64,GPU+PIM,1.76
Large Scale,RetNet,64,Pimba,2.62
Large Scale,GLA,32,GPU,1.00
Large Scale,GLA,32,GPU+Q,1.28
Large Scale,GLA,32,GPU+PIM,1.40
Large Scale,GLA,32,Pimba,1.95
Large Scale,GLA,64,GPU,1.00
Large Scale,GLA,64,GPU+Q,1.43
Large Scale,GLA,64,GPU+PIM,1.61
Large Scale,GLA,64,Pimba,2.24

